"O","X1B","X2B","X3B","wOBA.slope","RunEnv.slope","intercept","State","TotCount","int.pvalue","wOBA.pvalue","RunEnv.pvalue","int.SE","wOBA.SE","RunEnv.SE","rsquared","RE"
2,0,0,0,0.869567877276991,0.0257014840793881,-0.299115106285084,1,179029,3.62872971396909e-26,3.75961725391855e-39,3.26707541047287e-09,0.0205270825441422,0.0399025253823406,0.00394590358216824,0.849191805893481,0.0975052555731194
2,1,0,0,1.87707034996645,0.0363896902308456,-0.555832841273328,2,79016,3.66288052615613e-17,1.70810081656451e-31,0.000699290132245513,0.0540506659528708,0.107706478477501,0.0103868307340448,0.775767809461643,0.217189941277716
1,0,0,0,1.22857117181416,0.0558735127595409,-0.389042705902459,3,225162,3.79059023203037e-19,1.78116759437232e-31,2.74001773050789e-13,0.0348666311966382,0.0711739781645239,0.00661141253103003,0.804467052382981,0.252798489087857
2,0,1,0,2.04520837729121,0.0338203535054238,-0.506492732428049,4,49058,4.86322254972698e-10,9.81192976446373e-25,0.0166405085934562,0.0731035031763058,0.147063126399112,0.0138763965289617,0.6840872324406,0.311794840800685
2,0,0,1,2.00838502718261,0.0368125544264693,-0.481379070866068,5,20127,1.13901018434251e-05,1.27795488552182e-15,0.0696140526666234,0.103872000919188,0.209548683850119,0.0200598119018118,0.514900765507319,0.338149773935509
2,1,1,0,3.22254856624471,0.0774221265145086,-0.963773023642526,6,38515,1.4720001127424e-13,1.8815503576903e-25,0.000489742623312207,0.112194614502285,0.226703055506129,0.0214572800682265,0.701854275874988,0.421848196806439
0,0,0,0,1.35087318411559,0.0960430239963853,-0.380038475274633,7,312363,3.55667498813071e-14,6.14285289529283e-28,1.22419343062564e-20,0.0428837001551666,0.087652654054583,0.00810187693373714,0.810469561838172,0.475411228282479
2,1,0,1,3.05890718779484,0.121204966547022,-1.05747779532952,8,18057,3.26487356037547e-10,1.3145820715077e-16,7.5948022259521e-05,0.150426661638086,0.303809604886279,0.0292819884273712,0.582356338270211,0.465288680290192
1,1,0,0,2.5171578556181,0.0632182213498317,-0.601605622765058,9,80584,4.90961743818525e-14,3.34434017179471e-34,5.30119111757472e-06,0.0682705707796767,0.133521983562792,0.0131147531922995,0.804400469499958,0.499951755931699
2,0,1,1,3.9474559020839,0.0656638272146651,-1.03202683068313,10,12745,3.95359359234798e-06,1.1627958472842e-14,0.105243958646432,0.209950647206304,0.427844056419237,0.0401264930832318,0.506402878631159,0.543527194978423
1,0,1,0,2.46831566226709,0.101466447589349,-0.60154375938968,11,38134,6.45744646138939e-07,3.46292715532953e-19,8.06775228955854e-06,0.112830408956948,0.21976615308803,0.0215034175191662,0.622094429463004,0.649197280641947
2,1,1,1,4.7938905480128,0.0990060363997066,-1.26523526063651,12,13946,6.31931213110716e-08,3.31618234396395e-18,0.019996640388847,0.21426145074996,0.437156320828673,0.0417915306344824,0.603172695130321,0.724732546966872
0,1,0,0,2.62144574355453,0.135454680916431,-0.60282417146126,13,69031,6.0861338178771e-09,2.36439717933544e-24,2.52746453118536e-11,0.094506530012108,0.191735575444852,0.0179674027180549,0.733969905728588,0.838108003650534
1,1,1,0,3.69777895304096,0.0757972218717892,-0.6783525950912,14,30740,8.47873978061684e-06,2.25094729872142e-22,0.00736654175552421,0.144225733281949,0.290878648175007,0.0276890760783686,0.64871983107563,0.86274395901106
1,0,0,1,2.23548919050839,0.00915377164105312,0.162253207039883,15,13033,0.359577264209931,2.7679829843671e-09,0.785819556087114,0.176204450135985,0.339089019366323,0.0335861277317968,0.326300328174053,0.942923095219827
0,0,1,0,1.9536092594336,0.139359096722691,-0.149347263844634,16,22837,0.371689782425894,8.14046414137965e-08,2.62075865314202e-05,0.16636691209586,0.335097712278248,0.0314766790102907,0.390603585684283,1.09150860883654
1,1,0,1,3.54436951723267,0.132742133655189,-0.618455954544568,17,13695,0.00895647986250054,1.77346098639092e-11,0.00352818387835623,0.2314797228835,0.4609523106253,0.0442985892754315,0.449545216934972,1.12016441767068
0,0,0,1,1.51997264772901,0.105945085096198,0.407726114168178,18,3507,0.243223642107324,0.0265853463559365,0.112054634900235,0.346903759723755,0.673219595489892,0.0659650418630509,0.0905546481262673,1.36363122326775
1,0,1,1,3.07690058128255,0.187502533334923,-0.455781761033336,19,10702,0.0982852136052324,3.36715873789943e-07,0.000467897760405805,0.272833647430165,0.558333027877471,0.05163188281113,0.349989186578683,1.36318078863764
0,1,1,0,2.87938431164485,0.226433196110839,-0.510227026921338,20,17335,0.0559666319179841,2.20254632059754e-07,2.54445872131214e-05,0.263615090380161,0.514572800393481,0.0510837161808652,0.379026269097077,1.41448658782809
1,1,1,1,3.89185935239712,0.109507717552096,-0.220057330450331,21,11450,0.458112481790398,6.80246521104975e-09,0.0548698839828095,0.295326880118318,0.60863521131149,0.0563039560887714,0.346506476703253,1.52397021834061
0,1,0,1,3.7901794801733,0.26165112946623,-0.627945436754141,22,6262,0.0848230213656384,3.40857587413618e-07,0.000298562578756311,0.360167288697707,0.685591243023318,0.0694006229669437,0.361015075196196,1.75512176620888
0,0,1,1,1.70459871795066,0.250452891331351,0.33410616043424,23,4300,0.418537871805536,0.0383390532754301,0.00213033484953041,0.411066099783863,0.810633248256492,0.0791320110243406,0.15393058168945,1.97485527906977
0,1,1,1,1.16078648101611,0.36805930894408,0.29045382577554,24,4723,0.570257194525167,0.270079932911188,0.000264456032135612,0.509596009642977,1.04539380224037,0.0965183582077515,0.171450184840614,2.26134943891594
